lemma,layer,method,n_samples,n_true_labels,n_clusters_found,silhouette,ari,nmi,davies_bouldin,calinski_harabasz
bank,10,hdbscan,88,2,4,0.18726958334445953,0.4188030261572992,0.5094696262762288,2.34053825485361,17.70636749267578
bank,11,kmeans,88,2,2,0.32907405495643616,0.9520095866699637,0.9070820546706152,1.4575373319314457,33.30518341064453
bank,11,hdbscan,88,2,3,0.268819123506546,0.8230735983242384,0.6866022433647722,1.6508663574558406,18.455753326416016
bank,12,kmeans,88,2,2,0.3111916780471802,0.9520095866699637,0.9070820546706152,1.5109863883837342,30.611787796020508
bank,12,hdbscan,88,2,4,0.21534566581249237,0.4811421224455021,0.5061110201525298,2.1424630060823526,16.233806610107422
bat,0,kmeans,29,2,2,0.7648912072181702,0.04373481430059007,0.08465635022928182,0.15212421619227953,39.24274444580078
bat,0,hdbscan,29,2,2,0.2412501722574234,0.06294177044766072,0.09424743341287001,1.9384259016164,3.350332736968994
bat,1,kmeans,29,2,2,0.5798367857933044,0.04373481430059007,0.08465635022928182,0.29218771633120894,10.758439064025879
bat,1,hdbscan,29,2,2,0.20823481678962708,0.6659568289613784,0.5748271696244769,2.0953646534675228,5.197771072387695
bat,2,kmeans,29,2,2,0.31737834215164185,0.8620856990343088,0.8123117587383102,1.3548220976660492,12.720968246459961
bat,2,hdbscan,29,2,2,0.3150694668292999,0.862419518807184,0.8059836645866244,1.3872312159739686,10.209930419921875
bat,3,kmeans,29,2,2,0.3128007650375366,0.7338286713286714,0.6252573208046709,1.2821793933709273,13.448034286499023
bat,3,hdbscan,29,2,2,0.28054752945899963,0.6669240420808802,0.6406538878939485,1.8617224091902385,8.590574264526367
bat,4,kmeans,29,2,2,0.3184299170970917,0.8620856990343088,0.8123117587383102,1.344106678401437,13.754874229431152
bat,4,hdbscan,29,2,2,0.0641803964972496,0.15148952620261422,0.34890333565335613,1.5407940616529678,4.587332725524902
bat,5,kmeans,29,2,2,0.3346111476421356,0.8620856990343088,0.8123117587383102,1.2938969543848864,14.984916687011719
bat,5,hdbscan,29,2,2,0.04851594939827919,0.14668792578634585,0.34766645207501473,1.6070992083212763,4.3479156494140625
